room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
2801491,1482,11504660,Entire home/apt,,Nice,,EM,6,4.5,8,4,,325,,47:53.4,43.734104,7.262007,0101000020E6100000D34A21904B0C1D4070EEAF1EF7DD4540
13763106,1482,80709615,Entire home/apt,,Nice,,NW,0,0,5,2,,432,,47:53.4,43.677172,7.228241,0101000020E6100000E36C3A02B8E91C402AE27492ADD64540
19728184,1482,87460977,Entire home/apt,,Nice,,AP,0,0,4,2,,313,,47:53.3,43.704999,7.311876,0101000020E610000012A1116C5C3F1D403A5B40683DDA4540
13662579,1482,14573623,Entire home/apt,,Nice,,KT,0,0,6,3,,332,,47:53.3,43.698246,7.2651,0101000020E6100000ACADD85F760F1D400A48FB1F60D94540
12798057,1482,14573623,Entire home/apt,,Nice,,EA,3,4.5,8,4,,368,,47:51.7,43.721726,7.250716,0101000020E6100000F355F2B1BB001D4021567F8461DC4540
18500243,1482,128383075,Entire home/apt,,Nice,,KI,0,0,10,5,,482,,47:51.7,43.695399,7.295491,0101000020E6100000A20C5531952E1D40E7559DD502D94540
16607940,1482,11570858,Entire home/apt,,Nice,,AP,0,0,4,2,,323,,47:51.7,43.705195,7.312201,0101000020E61000002E1D739EB13F1D40C0266BD443DA4540
2976311,1482,5096762,Entire home/apt,,Nice,,EH,1,0,2,1,,362,,47:51.7,43.728819,7.252442,0101000020E61000001E8CD82780021D400ADAE4F049DD4540
14518366,1482,46847536,Entire home/apt,,Nice,,MO,0,0,4,2,,332,,47:51.7,43.692546,7.248499,0101000020E6100000D55A988576FE1C40E17CEA58A5D84540
14586690,1482,90432651,Entire home/apt,,Nice,,AP,0,0,4,1,,482,,47:51.7,43.705171,7.311189,0101000020E6100000F17F4754A83E1D40378B170B43DA4540
19826937,1482,140101755,Entire home/apt,,Nice,,IZ,0,0,14,6,,422,,47:51.7,43.698325,7.287758,0101000020E610000044A67C08AA261D40567DAEB662D94540
